exercise,disease,condition,description,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46
2,아이스스케이팅,2,"아이스링크 위에서 스케이트를 신고 활주하는 운동으로, 하체 근력과 균형 감각을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,계단 오르기,3,"계단을 오르는 동작으로, 하체 근력과 심폐 지구력을 강화하며 특히 둔근과 허벅지 뒤쪽을 자극합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,농구 게임,4,"농구 경기를 하는 활동으로, 전신 유산소 효과와 순발력, 협응력을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,축구 풋살,4,"축구 또는 풋살 경기를 하는 활동으로, 전신 유산소 효과와 순발력, 민첩성을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,배드민턴 랠리,3,"배드민턴 셔틀콕을 주고받는 활동으로, 전신 유산소 효과와 순발력, 민첩성을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,테니스 랠리,4,"테니스 공을 주고받는 활동으로, 전신 유산소 효과와 순발력, 민첩성을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,탁구 랠리,2,"탁구 공을 주고받는 활동으로, 순발력과 민첩성, 집중력을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,하키 스케이팅,4,"하키를 하며 스케이트를 타는 활동으로, 하체 근력과 심폐 지구력을 강화하는 고강도 유산소 운동입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,복싱 샌드백 치기,4,"샌드백을 치는 활동으로, 상체 근력, 심폐 지구력, 스트레스 해소에 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,섀도우 복싱,3,"가상의 상대를 두고 주먹을 휘두르는 활동으로, 심폐 지구력과 복싱 기술 향상에 도움이 됩니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,킥복싱 풋워크,3,"킥복싱의 스텝 연습으로, 민첩성과 하체 근력을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,무에타이 미트치기,4,"미트를 잡고 펀치와 킥을 연습하는 활동으로, 전신 근력과 폭발적인 힘을 기르는 데 효과적입니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,줄넘기 복싱 스타일,4,"복싱 선수들이 하는 것처럼 다양한 스텝을 섞어 하는 줄넘기로, 심폐 지구력과 민첩성을 극대화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,사이드 스텝,2,"옆으로 빠르게 움직이는 동작으로, 하체 근력과 민첩성을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,점핑잭,2,"팔다리를 벌렸다 오므리는 동작을 반복하는 유산소 운동으로, 전신을 사용하여 칼로리를 소모합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스타점프,3,"점핑잭보다 더 크게 팔다리를 벌려 점프하는 동작으로, 전신 유산소 효과를 극대화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,에어로바이크 스프린트,5,에어로바이크를 사용하여 짧은 시간 동안 전력 질주하는 고강도 인터벌 트레이닝입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,로프 클라이밍,5,"로프를 타고 오르는 운동으로, 전신 근력, 특히 악력과 등 근육을 강력하게 단련합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,파쿠르 러닝,5,"장애물을 뛰어넘거나 통과하며 달리는 운동으로, 전신 근력, 순발력, 민첩성을 극대화합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,트램펄린 점프,3,"트램펄린 위에서 점프하는 운동으로, 관절에 부담이 적고 유산소 효과와 균형 감각을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,줄 없는 점핑,2,"줄 없이 줄넘기 동작을 하는 운동으로, 유산소 효과와 순발력을 기르는 데 좋습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,스텝박스 오르내리기,2,"스텝박스를 오르내리는 동작으로, 하체 근력과 유산소 효과를 동시에 얻을 수 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
